nom_lieu,note_moyenne
Faivre SA Café,5.0
Aubry Evrard S.A.S. Café,3.5
Bernard Café,4.0
Renault Café,5.0
Delorme Valentin SA Café,3.2
Pelletier S.A. Café,4.1
Legendre Café,3.9
Leleu SARL Café,3.4
Chauveau Café,4.8
Ferrand Café,4.0
Fouquet SARL Café,3.1
Labbé Café,3.5
Lévy Café,3.5
Pichon Café,3.5
Grenier Paul S.A.R.L. Café,4.2
Martineau Café,3.2
Andre Legros S.A.R.L. Café,4.9
Allard Café,3.1
Fleury Café,3.6
Dupuis Marchand S.A.R.L. Café,4.7
Henry Grenier SARL Café,3.9
Rossi Café,3.1
Muller Café,3.6
Blot Ollivier et Fils Café,4.9
Morin SARL Café,3.7
Dupré Café,4.5
Besnard Café,4.1
Clément Café,4.2
Navarro Café,4.5
Paul Café,4.1
Pages Café,3.4
Lelièvre SARL Café,4.4
Pelletier Café,4.5
Moulin Laporte S.A.R.L. Café,3.8
Pinto Diaz SARL Café,4.7
Bruneau Café,4.5
Ruiz S.A.R.L. Café,5.0
Georges Laurent S.A.S. Café,3.6
Blot SARL Café,3.9
Becker Café,4.6
Pons Café,4.1
Lebrun S.A.S. Café,4.5
Torres Reynaud SA Café,4.0
Verdier S.A.S. Café,3.5
Barre S.A.R.L. Café,3.7
Nguyen SA Café,4.2
Blanc Café,4.4
Nguyen Pruvost S.A.R.L. Café,4.6
Laporte S.A.S. Café,3.8
Schneider Café,4.0
Brun Café,3.1
Dupont Café,3.2
Menard Café,3.5
Martineau Café,4.2
Bourgeois S.A. Café,3.9
Gaudin et Fils Café,4.1
Thibault Café,3.9
Mahe et Fils Café,3.3
Carlier S.A.S. Café,4.0
Guillot Café,4.0
Nicolas S.A.R.L. Café,4.2
Collin S.A.S. Café,3.4
Pascal Café,4.8
Lambert SA Café,3.5
Mace Roux S.A.S. Café,3.4
Aubert SA Café,4.0
Hervé Café,3.9
Tanguy Dupuy S.A.S. Café,3.4
Imbert Café,3.4
Jourdan Café,4.4
Vasseur Lucas S.A.R.L. Café,3.0
Legros Café,4.4
Laine S.A.R.L. Café,3.0
Bazin S.A. Café,4.6
Bonneau Café,4.7
Pascal S.A.S. Café,4.8
Weiss Café,3.7
Boyer Café,4.8
Rémy Jourdan SA Café,3.0
Voisin Guillaume SARL Café,4.1
Garcia Café,3.4
Durand Café,3.3
Didier S.A.R.L. Café,4.1
Evrard SA Café,3.7
Dupuy Café,4.6
Dumas Café,4.9
Henry Café,3.2
Guyon Café,4.6
Thibault et Fils Café,4.0
Barre Laurent S.A.R.L. Café,4.1
Lévêque Café,4.8
Blondel Roger S.A.S. Café,3.5
Godard Café,3.6
Legros Café,3.2
Allard Café,3.7
Lacroix Gallet S.A.S. Café,3.2
Leclerc Leclerc SA Café,3.9
Verdier Lefort SARL Café,4.9
Carpentier Café,3.4
Lévy Café,4.1
Weber Becker S.A. Café,4.8
Hoarau Baron et Fils Café,3.8
Prévost Café,3.2
Morvan Café,4.9
Coste SA Café,3.6
Chauveau Café,3.9
Dupuy Café,3.5
Robert Lejeune SA Café,4.5
Gomez Klein SARL Café,3.8
Delaunay Café,5.0
Barre Café,3.0
Pires Café,4.3
Teixeira Café,4.0
Lévy SA Café,4.6
Peltier Café,4.0
Ferreira Café,3.1
Weber Café,3.8
Boulay Café,4.2
Delannoy Café,4.6
Bousquet Café,4.3
Humbert Café,4.9
Leconte Café,3.7
Picard Café,3.8
Louis SARL Café,4.1
Vallet Le Gall S.A.R.L. Café,4.5
Barthelemy Café,3.5
Georges S.A. Café,5.0
Pasquier Café,3.1
Camus Ledoux SA Café,4.9
Boulay Café,3.1
Denis Café,4.9
Launay Café,3.4
Peron Café,3.0
Blot Café,5.0
Grégoire Café,4.2
Joly Café,3.8
Paris Chauvin SARL Café,3.6
Lacombe Café,3.5
Normand Café,3.8
Dumont Café,3.9
Boucher Café,4.0
Coulon Café,3.3
Legrand SA Café,3.6
Leconte Bègue S.A. Café,3.1
Leclercq SARL Café,4.5
Gilbert Café,3.5
Lecoq Café,3.7
De Sousa Café,4.3
Boucher Café,4.2
Lagarde Gomes S.A.R.L. Café,3.2
Becker Café,3.8
Renaud et Fils Café,3.1
Perrot Café,3.3
Leblanc Café,4.0
Leduc SA Café,3.5
Hervé Morin S.A.R.L. Café,4.0
Salmon S.A.S. Café,3.6
Gomez Café,4.9
Petit Café,4.8
De Oliveira Didier S.A. Café,4.2
Lombard Café,3.1
Lefort Café,4.1
Lévy Café,3.5
Hardy Café,4.3
Blanc Pichon SARL Café,4.6
Garcia Teixeira S.A. Café,4.2
Raymond Carre SARL Café,4.1
David S.A.S. Café,3.6
Girard Café,5.0
Duval Café,5.0
Coulon Delaunay et Fils Café,3.5
Lévêque Café,4.3
Marty Chauvet S.A.R.L. Café,3.7
Lévy Café,3.3
Loiseau Café,3.7
Adam S.A. Café,3.6
Lemoine S.A. Café,4.8
Fournier S.A. Café,3.7
Carlier Café,4.6
Olivier Jean SA Café,4.4
Salmon Café,4.6
Dupuy S.A.R.L. Café,3.0
Launay Lebon SA Café,3.2
Briand Cousin S.A.S. Café,4.9
Couturier Café,4.1
Moulin S.A.S. Café,4.9
Dias Café,3.9
Dijoux SARL Café,4.1
Leleu Café,4.5
Picard Guérin SARL Café,4.8
Faivre S.A.R.L. Café,3.7
François Café,3.8
Millet Café,4.3
Gay Café,3.4
Lebon Café,4.3
Marie Café,3.4
Chauvet Guyot SARL Café,4.7
Gomez Café,3.5
Richard Café,3.9
Peron Maillet S.A.S. Café,4.4
Cousin Café,4.0
Maréchal Café,4.2
Maillot SA Café,4.9
Guibert Martineau S.A.S. Café,4.0
Robert S.A. Café,3.2
Munoz et Fils Café,3.0
Barthelemy Pires et Fils Café,4.8
Perrin Gomez et Fils Café,4.9
Daniel Rodriguez SA Café,3.0
Guyot S.A. Café,3.6
Fabre Café,4.8
Lelièvre et Fils Café,3.4
Carpentier Café,4.7
Masse Café,4.1
Toussaint Café,3.9
Pottier Faure S.A.S. Café,3.2
Charrier Café,4.8
Sauvage Café,3.5
Maillet Café,4.5
Hervé Garnier SA Café,3.7
Prévost S.A.S. Café,3.0
Blanchet S.A.R.L. Café,4.8
Goncalves Café,3.7
Bourgeois Lemoine S.A.R.L. Café,3.5
Hubert Café,4.6
Denis Café,3.3
Marin Lagarde et Fils Café,4.9
Bousquet Café,3.9
Delorme Café,3.6
Brunel Café,4.7
Charpentier Café,3.1
Delaunay S.A.R.L. Café,3.9
Martineau Café,3.9
Caron Café,3.2
Colin S.A.R.L. Café,4.6
Jacques Café,4.7
Chauvet Café,4.5
Lefèvre Café,3.1
Prévost S.A.R.L. Café,4.0
Brun Café,3.7
